IDSKEY	LABEL	Occurrences
1.1	world	240
1.21	earth, land	315
1.212	earth=ground, soil	292
1.213	dust	269
1.214	mud	306
1.215	sand	245
1.22	mountain, hill	399
1.222	cliff, precipice	307
1.23	plain, field	349
1.24	valley	227
1.25	island	219
1.26	mainland	149
1.27	shore	332
1.28	cave	256
1.31	water	250
1.32	sea	215
1.322	calm (of sea)	208
1.323	rough (of sea)	184
1.324	foam	238
1.329	ocean	188
1.33	lake	240
1.34	gulf, bay	145
1.341	lagoon	143
1.342	reef	104
1.343	headland, point	129
1.35	wave	234
1.352	tide	125
1.353	lowtide	116
1.354	hightide	114
1.36	river, stream, brook	433
1.362	whirlpool	208
1.37	spring, well	382
1.38	swamp	271
1.39	waterfall	212
1.41	woods, forest	289
1.43	wood	251
1.44	stone, rock	375
1.45	earthquake	205
1.51	sky	256
1.52	sun	245
1.53	moon	246
1.54	star	247
1.55	lightning	250
1.56	thunder	261
1.57	lightning (as striking)	222
1.58	storm	262
1.59	rainbow	245
1.61	light (noun)	289
1.62	darkness	316
1.63	shade, shadow	285
1.64	dew	227
1.71	air	207
1.72	wind	259
1.73	cloud	273
1.74	fog	254
1.75	rain (noun)	257
1.76	snow (noun)	183
1.77	ice	226
1.78	weather	182
1.81	fire	253
1.82	flame (noun)	239
1.83	smoke (noun)	243
1.84	ashes	242
1.841	embers	240
1.851	burn (vb trans)	294
1.852	burn (vb intrans)	250
1.86	light, kindle, ignite	311
1.861	extinguish	258
1.87	match (noun)	212
1.88	firewood	252
1.89	charcoal	238
10.11	move	303
10.12	turn over	286
10.13	turn around	279
10.14	wind, wrap	294
10.15	roll	259
10.16	drop (vb)	239
10.17	twist	299
10.21	rise	334
10.22	raise, lift	292
10.23	fall	306
10.24	drip	258
10.25	throw	320
10.252	catch (ball)	240
10.26	shake	322
10.32	flow	265
10.33	sink	277
10.34	float	241
10.35	swim	255
10.351	dive	220
10.352	splash	237
10.36	sail (vb)	136
10.37	fly (vb)	250
10.38	blow	280
10.41	creep, crawl	256
10.412	kneel	235
10.413	crouch	223
10.42	slide, slip	286
10.43	jump, leap	302
10.431	kick	251
10.44	dance	258
10.45	walk	322
10.451	limp	225
10.46	run	284
10.47	go	331
10.471	go up	261
10.472	climb	264
10.473	go down	298
10.474	go out	239
10.48	come	283
10.481	come back	266
10.49	go away, depart	295
10.491	disappear	259
10.51	flee	284
10.52	follow	271
10.53	pursue	256
10.55	reach, arrive	329
10.56	approach	259
10.57	enter	286
10.61	carry (bear)	304
10.612	carry-in-hand	209
10.613	carry-on-shoulder	238
10.614	carry-on-head	177
10.615	carry-underarm	168
10.62	bring	282
10.63	send	275
10.64	lead (vb)	254
10.65	drive	217
10.66	ride	209
10.67	push, shove	294
10.71	road	261
10.72	path	268
10.74	bridge	202
10.75	carriage, wagon, cart	227
10.76	wheel	200
10.77	axle	148
10.78	yoke	150
10.81	ship	196
10.83	boat	223
10.831	canoe	180
10.832	outrigger	72
10.84	raft	146
10.85	oar	166
10.851	paddle (noun)	172
10.852	row (vb)	207
10.86	rudder	138
10.87	mast	128
10.88	sail (noun)	141
10.89	anchor	122
10.91	harbor, port	194
10.92	land (vb)	202
11.11	have	233
11.12	own, possess	234
11.13	take	281
11.14	seize, grasp	310
11.15	hold	245
11.16	get, obtain	273
11.17	keep, retain	257
11.18	thing	259
11.21	give	278
11.22	give back	236
11.24	preserve, look after	247
11.25	save, rescue	242
11.27	destroy	278
11.28	harm, injure, damage	289
11.31	seek, look for	267
11.32	find	270
11.33	lose	264
11.34	release, let go	258
11.43	money	233
11.44	coin	206
11.51	rich	226
11.52	poor	258
11.53	beggar	216
11.54	avaricious, stingy	313
11.61	lend	228
11.62	borrow	219
11.63	owe	186
11.64	debt	198
11.65	pay (vb)	229
11.66	account, reckoning	187
11.69	tax, tribute	196
11.77	hire	182
11.78	wages	226
11.79	earn	197
11.81	buy	239
11.82	sell	237
11.83	trade, barter	255
11.84	merchant	232
11.85	market (place)	181
11.86	store, shop	226
11.87	price	205
11.88	dear (costly, expensive)	218
11.89	cheap	207
11.91	share (distribute)	239
11.92	weigh	210
12.1	after	227
12.11	place	559
12.12	put	306
12.13	sit	268
12.14	lie down	288
12.15	stand	263
12.16	remain, stay	273
12.17	remains, left overs	236
12.2	beside	243
12.21	collect, gather	306
12.212	pick up	248
12.213	pile up	288
12.22	join, unite	318
12.23	separate	281
12.232	divide	245
12.24	open	280
12.25	shut, close	277
12.26	cover	293
12.27	hide, conceal	303
12.3	down, below	277
12.31	high	270
12.32	low	241
12.33	top	293
12.34	bottom	253
12.35	end	269
12.352	pointed	263
12.353	edge	342
12.36	side	306
12.37	middle, center	297
12.4	before	248
12.41	right (side)	446
12.42	left (side)	245
12.43	near (adv)	304
12.44	far (adv)	269
12.45	east	242
12.46	west	245
12.47	north	217
12.48	south	226
12.5	inside, in	273
12.53	grow	302
12.54	measure	233
12.541	span, fathom	161
12.55	large, big	298
12.56	small, little	340
12.57	long	268
12.58	tall	270
12.59	short	266
12.6	outside	232
12.61	wide, broad	276
12.62	narrow	294
12.63	thick (in dimension)	265
12.65	thin (in dimension)	301
12.67	deep	249
12.68	shallow	230
12.7	under	221
12.71	flat	272
12.73	straight	266
12.74	crooked	287
12.75	hook	227
12.76	corner	244
12.77	cross	177
12.78	square	179
12.8	up, above	292
12.81	round	263
12.82	circle	242
12.83	sphere, ball	251
12.84	line	227
12.85	hole	287
12.92	like, similar	302
12.93	change	271
13.0	zero, nothing	213
13.1	one	262
13.10	ten	166
13.101	eleven	179
13.102	twelve	180
13.103	fifteen	182
13.104	twenty	194
13.105	hundred	174
13.106	thousand	162
13.107	count	239
13.14	every, all	361
13.15	much, many	352
13.16	more	250
13.17	little (quantity), few	300
13.18	enough	265
13.181	some	283
13.19	multitude, crowd	281
13.2	two	215
13.21	full	270
13.22	empty	253
13.23	part, piece	310
13.24	half	259
13.3	three	196
13.33	alone, only	391
13.34	first	278
13.35	last	257
13.36	second	201
13.37	pair	245
13.38	two times	232
13.4	four	182
13.42	third	175
13.44	three times	208
13.5	five	171
13.6	six	161
13.7	seven	158
13.8	eight	155
13.9	nine	158
14.11	time	238
14.12	age	257
14.13	new	248
